詞條,解釋
阿爸,稱呼父親。
阿姆,稱呼母親。
阿哥,稱呼兄長。
阿姊,稱呼姊姊。
阿公,稱呼祖父
阿婆,稱呼祖母
阿太,稱呼曾祖父或曾祖母。
阿阿膩膩,謂說話不乾脆、不果決的樣子。
鴨子,小鴨。
鴨公,雄鴨。
鴨嫲,母鴨。
鴨卵,鴨蛋。
鴨春,鴨蛋。
挨尸磨骨,形容做事拖拖拉拉，慢吞吞的。
矮細,矮小。
矮仔,喻個子矮小。
矮仔,形容矮而行動笨拙的樣子。
矮仔,矮而笨重的樣子。
矮墩墩仔,又矮又胖的樣子。
暗暗,很暗的樣子。
暗傷,內傷。
暗想,暗中思想。
暗錢,不正當取來的錢。
暗溝,暗地裡發出的箭。
暗霜,加蓋掩覆的水溝。
暗暗仔,暗中進行。
暗晡夜,今天晚上。
暗晡頭,夜晚，晚間。
暗摸摸仔,1.形容很暗。2.謂不清楚事物的情況。
暗摸胥疏,黑漆漆的，形容黑暗不明。
暗摸叮咚,形容漆黑一片。
盦盦覆,俯臥。
恁早,1.那麼早。2.問候語，猶如國語的「早安」。
恁奀,那麼難看。
恁歪,那麼壞或那麼自私。
恁爽,那麼舒適豪華。
恁會,那麼能幹。
恁衰,如此倒楣。
恁拶,這般擁擠或密集。
恁豺,這般饞嘴。
恁猴,這麼精。
恁賤,指小孩喜歡東摸西摸，靜不下來。
恁,很累。
恁悿,很疲憊。
恁靚,很漂亮。
恁仔細,道謝的用語。
恁會早,1.早晨見面問候早安的話。
盎冷,謂不知變通的人。
盎頭甕缽,泛指陶製的各種容器。
詏數,為所記之賬目爭辯。
詏嘴,吵嘴。
拗蠻,很，非常。
霸等,佔據著。
巴掌嫲,手掌。
疤疤,形容有疤痕。
背鑊,喻駝背，如人背上揹著鍋子。
把扼,把握。
把等,攔住，遮擋著。
八隻手,本義形容人很能幹，通常用在奚落人的能力時。
伯公,土地公，民間福德祠
伯婆,1.土地婆。2.伯祖母。
伯公太,伯曾祖父。
百籃肚,食量大，謂貪吃、好吃。
百番底,言非常徹底。
擘嘴擘鼻,打呵欠，疲倦的樣子。
拜喏,兩手合十置於胸前上下拜，表示對鬼神的敬意。
擺擺,每次、回回。
擺靚,只擺著好看，無實質意義。
擺把仔,偶爾一兩次。
半析,半片。
半生死,1.要死不活。
半生熟,半生不熟。
半相送,以半價優惠予人。
半桶水,喻學藝不精專，一知半解的人。猶言「半調子」。
半站仔,中間的地方。
半駁仔,中間的段落。
半頭青,謂尚未成熟的青少年。
半肥腈,謂有瘦又有肥的肉。
半閹陽,謂男人有女性化或女人有男性化的人。
半槽米,謂不精實的穀粒。
半鹹淡,不鹹不淡的味道。
半憨痴,謂處世不甚認真，放蕩不正經。
半斤八兩,謂兩相對等，不相上下。
半闌站仔,謂工作做了一半尚未完成。
半出半入,一半在外一半在內。
半真半假,似真似假，真假相混。
半攔半出,有的留住了，有的卻溢出了。
半離半粲,指事情做到半途尚未完成。
半晝半暗,指上午九、十點或下午三、四點的時候。
半晝前後,謂十點左右的時候。
半尷不尬,謂事情進行到一半就停下來，變成進退不得的情況。
扳等,按著，扶著。
繃紅,形容很紅。
繃緪,形容很緊。
繃雄,形容很有精力。
挷工,騰出時間來。
挷山,抄捷徑。
挷相,短期間脛骨變長，身體明顯長高的生長狀況。
挷降,謂久不下雨。
挷縫,1.裂開，造成縫隙。2.抽空。
挷衫尾,喻跟隨人後。
挷皮扯瘌,謂皮膚緊縮撕裂傷口的疼痛。
挷挷扯扯,相互拉扯糾纏不清。
挷工挷工仔,抽出時間來。
挷刪挷刪仔,約略約略。粗略處理事情的樣子。
蹦猋,跳腳。如「譴到蹦猋」。
蹦跳,跳腳。
包揫揫,1.全包了。通通被一人包去。2.把頭臉、身體包裹得密不通風。
包微微,包得緊緊的。
包塞塞,包得密密的。
包包攝攝,包包藏藏的意思。
包山塞海,形容很多，多得把山都包住，
包食包著,管吃管穿，負責衣食兩方面的開銷。
胞衣跡,指出生地。先民將嬰兒出生時的胎盤埋在住家附近，故稱「胞衣跡」為出生地。
飽飽,1.肚子還不餓。
飽年飽節,過年過節很有吃的時候。
飽仔,形容吃得很飽的樣子。
比比,兩者並排一齊。
崩崗,懸崖。
崩巖,懸崖。
崩岡屻,猶說「山崩石落」。
比背,人群密擠，摩肩擦背。
比利啵囉,形容人群或動物紛亂雜沓奔跑的樣子。
痺痺,痲痲，肢體失去感覺的樣子。
碑石,石碑、墓碑。
裨裨接接,形容接接補補。
秕秕,醍糊狀。
陂塘,蓄水灌溉的池塘。或作「埤塘」。
陂圳,堤堰與溝渠。如「開陂作圳」。
陂頭,用來阻隔水流以引到別處的堤壩。
飛籮拔觜,形容家禽的飛躍翔舞。
壁直,筆直。
壁竳,如牆壁一般的直立著。
摒摒頓頓,以摔器物來表達心中不滿的情緒。
湢湢跳,蹦蹦跳。
湢湢滾,喻活潑靈敏。
愊愊掣,因恐懼而發抖。
必必,裂開貌。
必析,裂開成片。
必痕,裂痕。
必縫,裂縫。
必壢,裂開成溝痕。
必籬必絲,形容龜裂的樣子。
必壢必壢,形容嚴重龜裂。
扁扁,形容東西扁平。
並並絆絆,相互牽連阻礙的樣子。
兵挷齒扯,1.形容忙得不可開交的樣子。2.形容經濟非常拮据的樣子。
奮奮綻,一直想掙脫的樣子。
放人,1.用符咒蠱害人。2.釋放人。
放紅,殺雞鴨豬羊時，讓體內的血瀝出。
放竳,小孩徒手無依學習站立。
放聊,休息，放假。
放晝,在中午時刻放下工作。
放槓,放下竹槓停止工作。竹槓是挑擔的工具。
放轉,放工或放學回家
踣踣滾,形容人馬雜遝。
波螺皺,漩渦。
踣踣跌,行走不穩常跌倒。
發子,懷孕。
發鹵,謂皮膚長瘡疽。
發病,生病。
發夢,作夢。
發,患氣喘病。
發媱,發情，又引伸為淫蕩。
發蟲,長蟲子。
發閼,內心有怨不得宣洩而積悶於心。
發瘟,發瘟疫，是一種急性傳染病。
發大水,發生水災。
發尿積,患頻尿症。
發風颸,刮颱風。
發屎驚,驚悸在心，全身發抖起雞皮疙瘩。又說成「發尸驚」。
發肉雄,發情，或說精力過剩無處發
發㤕愕,發呆，發愣。
發杈杈仔,形容很富有。
發風落雨,刮風下雨，形容天氣惡劣。
發發癤,是說皮膚長瘡癤。
煙,吸煙，抽煙。
哱微,形容完全密封
哱塞,形容完全堵住。
哱哱猋,跳動不止的樣子。
背後,後面。
背尾,事後，後面。
背是非,在人背後搬弄是非。
背弇弇,背部彎曲的樣子。
背拑拑,背部彎曲的樣子。
背拱拱,背部拱起的樣子。
背寒寒,背部微駝的樣子。
背踗踗,駝背前進的樣子。
背蝦蝦,形容背像蝦背一樣，彎彎的。
背傴傴,彎腰駝背。又寫作「背痀痀」。
背翕翕,肩下垂胸部內收的駝背樣子
傍菜,配菜而食。
傍酒,配酒而食。
傍飯,配飯而食。
布布,像布一樣粗糙的感覺。
晡晡,每天晚上。
娘,妻子。
潾,嬰兒吐出口沫。
哱出,液體從地底或容器裡湧出來。
哱泡,湧出泡沫。
不人,數落人的不是。
不見奇,不見得奇特、高明。
不褡不膝,既不是肚兜也不是護膝帕。
抔綻朘,掏出陰莖、露出龜頭。指粗
腹內,指動物的內臟。
笨筍,肥嫩的樣子。
笨笨,豐腴的樣子。
本本,依舊、依然。
本成,本來，原來。
本旦,本來，原本。是「本底」的變音。
本底,原初，原本。
本德,猶言「本事」。
本本仔,原封不動。
車頭,1.車站。2.車的前部。
車嫲,即火車頭，帶動列車廂走的動力車。
車打車,形容很多，整車整車的。
茶米,經焙製完成之茶葉。
茶箍,用茶樹果實榨油所餘殘渣，做成圓餅狀物，可用以洗滌，猶今之肥皂。
茶炙仔,用來煮茶的茶壺。
插齊,很齊全或很整齊。
掣著,觸電。
掣仔鞋,拖鞋。
柵陣,從隊伍中區隔出。
柵格仔,隔離成一格一格。
柵間仔,隔間。
拆陣,分離隊伍。
拆數,給付所欠之錢。
拆錢,給付所欠之錢。
拆債,償還所欠之債。
赤牛,黃牛。
赤赤,暗紅色或赤褐色。
赤腳馬踏,赤腳，光著腳。
在在,穩當，不慌亂。
裁棚,事前的準備。
踩踩踏踏,猶言躑躅，猶疑不決的樣子。
僭菜,形容菜餚豐盛。
參人,向人身上撲去。
綻綻,開展的樣子。
撐腿,因勞累而使腿部肌肉僵化。
躁火,中醫病名．火氣上身。
躁躁,煩躁不安貌。如「心肝躁躁」。
躁光蟲,喻起得早的小孩。
躁光狗,同「躁光蟲」。
操持,勤勞(形容詞)。
吵耳吵鼻,形容聲音吵人。
吵耳塞鼻,形容聲音很吵。
脆脆,物質易碎裂。
濟錢,以錢價抵換。
媸媸,行為放浪不檢的樣子。
媸嫲,指用情浮濫的女人，與「臊牯」對稱。
湊雙,成雙，合成雙數。
湊單,成奇數。
瘦夾夾仔,形容很瘦的樣子。
瘦羌瘦羌,形容身子細瘦。
瘦縮瘦縮,形容身子細瘦。
瘦狗多鹵,瘦弱的狗特別多毛病。
瘦皮邋𨒇,營養不良，容顏瘦弱不堪。
憔憔,枯槁瘦病的樣子。
飼乳,餵奶，用於無法自食而須人助之者。
飼飯,餵飯，用於無法自食而須人助之者。
痴哥,謂男子好女色。
痴痴呆呆,形容癡呆狀。
痴哥沷沷,形容男子很好女色的德性。
直白,猶如乾脆、單純。
直直,形容線條很直或人的性格憨厚。
直直上,一直往上行。
直直落,直入。
直打直吹,喻說話直截了當，不隱諱與拐彎抹角。
直腸直肚,喻做人直爽，沒有心機。
沉水,把他浸入水中。
深落,指房子之縱深度。
深更夜靜,夜深人靜。
深潭磬碽,指潭水極深，擲石有聲。
沉毒,陰毒。
沉頭沒利,本金與利息都虧掉了。
陣打陣,一陣一陣的、一隊一隊的。
陣陣上,越來越囂張。
陣陣腦上,越來越有興致
塵灰,灰塵。
座酒,溫酒，將酒放置於熱水中使之變熱。
座湖,在低窪地。
座定敗,一定輸，居輸的一面。
座定贏,一定贏，居贏的一面。
座後背,在後面。
座背後,在後頭。
座頭前,在前頭。
座背尾,在後頭。
座落尾,殿後。
座頂高,在上方。
座贏面,取得贏的一邊。
坐桌,入餐席
坐涼,坐下來乘涼。
坐聊,坐下來休息。
昨晡日,昨天。
草弄弄仔,形容雜草叢生。
啜嚼,挑剔。
啜粥罅湯,謂粥稀得只能吸飲、湯中淡得無一物，喻飲食之簡薄。
撮人,耍伎倆騙人。
撮假,1.以虛假騙人。2.粗陋敷衍。
撮手花,在人前耍手技。
撮目花,1.假寐。2.同「撮眼花」。
撮眼花,乘人不備時動手腳。
著驚,受驚。
鑿空鬥榫,互相串通，連合做事。
亍上亍下,沒有目的地閒逛。
脆脆,形容很脆易斷裂的樣子。
衰過,可憐。
才調,才幹、能力。
彩頭,開頭的運氣。
賺食,1.謀生活。2.指女人操賤業以謀生。
賺衰,猶言好心沒好報。
賺暢,謂僅得到快樂而無實質收益。
賺肉痛,猶言平白受到皮肉之痛。
賺食碗,指謀生的工具。
穿空打漏,容殘破得孔孔洞洞。
撞走,迷路、走失。
撞差路,走錯路。
丈公,姑的丈夫或姨祖父。
丈人老,岳父。
丈人𡟓,岳母。
長透,經常，長時間如此。
長尸胐,是說一坐就坐得很久，不會立即離開的人。
長繞繞仔,悠長貌。常用來形容時間還很足的狀況。
長纜纜仔,很長的樣子。
長衫聊跳,形容悠遊清閒。
臭臭,1.形容氣味很臭。
臭沊,浸在水中過久而發出的臭味。
臭封,淹漬的蔬菜類封裝在瓶甕中，因腐敗而發出的臭味。
臭青,生青草或蔬菜味。
臭黃,蔬果過熟的氣味。
臭羴,有異樣氣味。
臭俗,俗不可耐。(xiog)音來自閩南語。
臭翕,物品受潮悶出發臭的氣味。
臭臭曷,身上發出的一種怪異臭味。
臭臊,動物身上發出的臭味。
臭腥,腥臭味。
臭餿,食物陳腐的臭味。
臭殕,物因潮濕而生的霉味。
臭戇羴,有傻子的氣味。是說吃了人家
臭肨肨仔,形容臭氣沖天。
臭臊扡蟹,形容人滿身腥臭。
臭青臭青,有很重的生草或生菜味。
臭翕臭翕,物品有很重的因受潮悶而發臭的氣味。
臭頭瘌刻,人的頭上如果長了疥癬之後常留下坑坑洞洞的疤痕，就叫「臭頭瘌刻」。「瘌刻」是說疤痕纍纍、凹凹洞洞不平整的樣子。
臭臊吧咘,形容騷臭味沖人鼻子。
粗鱗鱗仔,形容表面粗糙不堪。
粗傢硬伙,指粗重的家庭用具。
抽筋縮脈,謂病得痛苦萬分狀。
抽胲另命,猶言嘶聲力竭。
出丁,謂生男很多。
出子,鳥類孵出幼鳥謂出子。
出山,1.出殯。2.離開山林。
出心,形容奉獻心力。
出桌,把菜端出桌，準備開筵。
出煞,請和尚作法請走煞神。
出差世,罵人出錯世，投錯胎。
墜墜,下垂貌。如「下身墜墜」。
墜氣,疝氣，又稱小腸氣。
皴皴,形容平整沒有皺紋。
皴紋,神色泰然，沒有憂慮或不滿，即臉上沒有不悅的皺紋。
春光,發展，發榮。
衝林,謂林木高聳茂密。
衝新,形容極新。
衝新砉爛,東西雖然還很新，卻已破爛不堪。喻中看不中用。
銃子,子彈。
銃仔,槍。
重輕,1.輕重。2.憂煩之所在。
重鈂鈂仔,沉甸甸的樣子。
重跕跕仔,形容很重的樣子。
塚埔,墳墓所在的地方。
喋喋滾,誇言貌。
打子,指植物結果實。
打平,平著放。
打井,鑿井。
